position,driverNumber,driverId,constructorId,engineManufacturerId,tyreManufacturerId,time,gap,interval,laps,year,race
4,5,nigel-mansell,williams,renault,goodyear,1:13.667,+0.666,+0.223,,1991,portugal
2,5,nigel-mansell,williams,renault,goodyear,1:18.970,+0.219,+0.219,,1991,spain
3,5,nigel-mansell,williams,renault,goodyear,1:34.922,+0.222,+0.024,,1991,japan
3,5,nigel-mansell,williams,renault,goodyear,1:14.822,+0.781,+0.437,,1991,australia
1,5,nigel-mansell,williams,renault,goodyear,1:15.486,,,,1992,south-africa
1,5,nigel-mansell,williams,renault,goodyear,1:16.346,,,,1992,mexico
1,5,nigel-mansell,williams,renault,goodyear,1:15.703,,,,1992,brazil
1,5,nigel-mansell,williams,renault,goodyear,1:20.190,,,,1992,spain
1,5,nigel-mansell,williams,renault,goodyear,1:21.842,,,,1992,san-marino
1,5,nigel-mansell,williams,renault,goodyear,1:19.495,,,,1992,monaco
3,5,nigel-mansell,williams,renault,goodyear,1:19.948,+0.173,+0.076,,1992,canada
1,5,nigel-mansell,williams,renault,goodyear,1:13.864,,,,1992,france
1,5,nigel-mansell,williams,renault,goodyear,1:18.965,,,,1992,great-britain
1,5,nigel-mansell,williams,renault,goodyear,1:37.960,,,,1992,germany
2,5,nigel-mansell,williams,renault,goodyear,1:15.643,+0.167,+0.167,,1992,hungary
1,5,nigel-mansell,williams,renault,goodyear,1:50.545,,,,1992,belgium
1,5,nigel-mansell,williams,renault,goodyear,1:22.221,,,,1992,italy
1,5,nigel-mansell,williams,renault,goodyear,1:13.041,,,,1992,portugal
1,5,nigel-mansell,williams,renault,goodyear,1:37.360,,,,1992,japan
1,5,nigel-mansell,williams,renault,goodyear,1:13.732,,,,1992,australia
